bioname,twitter_handle,chamber,district_code,state_abbrev,party_code,dim1,dim2,log_likelihood,geo_mean_probability,number_of_votes,number_of_errors
"ABRAHAM, Ralph",RepAbraham,House,5,LA,200,0.499,0.345,-88.19055,0.92447,1123,37
"ADAMS, Alma",RepAdams,House,12,NC,100,-0.463,0.006,-54.85051,0.94863,1040,22
"ADERHOLT, Robert",Robert_Aderholt,House,4,AL,200,0.36,0.59,-103.30265,0.91121,1111,41
"AGUILAR, Peter Rey",RepPeteAguilar,House,31,CA,100,-0.279,0.131,-166.76534,0.85813,1090,80
"ALEXANDER, Lamar",SenAlexander,Senate,0,TN,200,0.323,-0.184,-104.85711,0.7753,412,39
"ALLEN, Rick W.",RepRickAllen,House,12,GA,200,0.625,0.438,-69.36635,0.93947,1111,23
"AMASH, Justin",justinamash,House,3,MI,200,0.67,-0.742,-492.60878,0.64465,1122,170
"AMODEI, Mark E.",MarkAmodeiNV2,House,2,NV,200,0.378,0.191,-113.37119,0.89811,1055,43
"ASHFORD, John Bradley",RepBradAshford,House,2,NE,100,-0.185,0.441,-325.13112,0.746,1112,137
"AYOTTE, Kelly",KellyAyotte,Senate,0,NH,200,0.351,-0.612,-126.06028,0.739,416,57
"BABIN, Brian",RepBrianBabin,House,36,TX,200,0.716,0.081,-86.92983,0.92467,1110,44
"BALDWIN, Tammy",SenatorBaldwin,Senate,0,WI,100,-0.537,-0.257,-50.50703,0.88669,420,24
"BARLETTA, Lou",RepLouBarletta,House,11,PA,200,0.274,0.397,-123.40539,0.88971,1056,47
"BARR, Garland H. (Andy) IV",RepAndyBarr,House,6,KY,200,0.486,0.304,-91.46205,0.92138,1117,46
"BARRASSO, John A.",SenJohnBarrasso,Senate,0,WY,200,0.529,0.232,-74.88231,0.83634,419,27
"BARTON, Joe Linus",RepJoeBarton,House,6,TX,200,0.528,0.049,-112.76272,0.90248,1099,49
"BASS, Karen",RepKarenBass,House,37,CA,100,-0.562,-0.131,-91.5273,0.91458,1025,43
"BEATTY, Joyce",RepBeatty,House,3,OH,100,-0.444,0.092,-80.29671,0.93009,1108,23
"BECERRA, Xavier",AGBecerra,House,34,CA,100,-0.512,-0.283,-79.99934,0.92783,1068,34
"BENISHEK, Dan",CongressmanDan,House,1,MI,200,0.491,-0.15,-198.80694,0.838,1122,105
"BENNET, Michael F.",SenBennetCO,Senate,0,CO,100,-0.208,-0.107,-73.73739,0.83898,420,34
"BERA, Ami",RepBera,House,7,CA,100,-0.224,-0.026,-171.17942,0.85697,1109,74
"BEYER, Donald Sternoff Jr.",RepDonBeyer,House,8,VA,100,-0.393,-0.055,-112.19665,0.90193,1087,46
"BILIRAKIS, Gus",RepGusBilirakis,House,12,FL,200,0.402,0.029,-133.57913,0.88738,1118,57
"BISHOP, Michael Dean",RepMikeBishop,House,8,MI,200,0.449,0.095,-122.40505,0.89647,1120,60
"BISHOP, Robert (Rob)",,House,1,UT,200,0.53,0.122,-119.75077,0.89431,1072,39
"BISHOP, Sanford Dixon, Jr.",SanfordBishop,House,2,GA,100,-0.281,0.472,-269.19995,0.78379,1105,126
"BLACK, Diane",RepDianeBlack,House,6,TN,200,0.58,0.234,-72.85758,0.93412,1069,22
"BLACKBURN, Marsha",MarshaBlackburn,House,7,TN,200,0.616,0.129,-73.38227,0.93518,1095,23
"BLUM, Rod",RepRodBlum,House,1,IA,200,0.519,-0.466,-211.24827,0.82741,1115,72
"BLUMENAUER, Earl",repblumenauer,House,3,OR,100,-0.429,-0.659,-130.18389,0.88742,1090,53
"BLUMENTHAL, Richard",SenBlumenthal,Senate,0,CT,100,-0.411,-0.055,-46.27469,0.8952,418,17
"BLUNT, Roy",RoyBlunt,Senate,0,MO,200,0.43,0.287,-83.12479,0.81568,408,35
"BOEHNER, John Andrew",speakerboehner,House,8,OH,200,0.513,0.04,NA,NA,NA,NA
"BONAMICI, Suzanne",RepBonamici,House,1,OR,100,-0.387,-0.378,-80.15072,0.93016,1107,42
"BOOKER, Cory Anthony",CoryBooker,Senate,0,NJ,100,-0.627,-0.24,-41.24595,0.90561,416,16
"BOOZMAN, John",JohnBoozman,Senate,0,AR,200,0.402,0.246,-69.98472,0.84584,418,21
"BOST, Mike",RepBost,House,12,IL,200,0.264,0.453,-118.99043,0.89494,1072,55
"BOUSTANY, Charles W.",,House,3,LA,200,0.392,0.308,-102.39446,0.912,1115,40
"BOXER, Barbara",BarbaraBoxer,Senate,0,CA,100,-0.45,-0.423,-46.4471,0.881,368,22
"BOYLE, Brendan Francis",RepBrendanBoyle,House,13,PA,100,-0.383,0.129,-130.75474,0.88597,1080,59
"BRADY, Kevin Patrick",RepKevinBrady,House,8,TX,200,0.518,0.214,-70.48998,0.93676,1079,27
"BRADY, Robert A.",RepBrady,House,1,PA,100,-0.481,0.221,-89.55802,0.91971,1070,47
"BRAT, David A.",RepDaveBrat,House,7,VA,200,0.848,-0.305,-115.41184,0.89883,1082,37
"BRIDENSTINE, Jim",RepJBridenstine,House,1,OK,200,0.69,-0.156,-132.78316,0.88735,1111,52
"BROOKS, Mo",RepMoBrooks,House,5,AL,200,0.598,-0.401,-273.81091,0.78277,1118,108
"BROOKS, Susan",SusanWBrooks,House,5,IN,200,0.375,0.266,-106.33815,0.9088,1112,46
"BROWN, Corrine",,House,5,FL,100,-0.429,0.192,-108.58497,0.895,983,39
"BROWN, Sherrod",SenSherrodBrown,Senate,0,OH,100,-0.439,-0.148,-40.03061,0.90676,409,19
"BROWNLEY, Julia",JuliaBrownley26,House,26,CA,100,-0.277,0.035,-151.33496,0.87351,1119,75
"BUCHANAN, Vernon G.",VernBuchanan,House,16,FL,200,0.36,-0.152,-191.43926,0.83519,1063,83
"BUCK, Kenneth Robert",RepKenBuck,House,4,CO,200,0.729,-0.503,-135.69814,0.88016,1063,58
"BUCSHON, Larry",RepLarryBucshon,House,8,IN,200,0.388,0.235,-101.80051,0.91297,1118,51
"BURGESS, Michael C.",michaelcburgess,House,26,TX,200,0.57,-0.229,-167.84915,0.86082,1120,84
"BURR, Richard M.",SenatorBurr,Senate,0,NC,200,0.453,-0.057,-92.33398,0.80138,417,38
"BUSTOS, Cheri",RepCheri,House,17,IL,100,-0.238,0.046,-147.8042,0.87627,1119,48
"BUTTERFIELD, George Kenneth, Jr. (G.K.)",GKButterfield,House,1,NC,100,-0.406,0.205,-93.42871,0.91698,1078,32
"BYRNE, Bradley",RepByrne,House,1,AL,200,0.54,0.283,-110.74013,0.90406,1098,45
"CՁRDENAS, Tony",RepCardenas,House,29,CA,100,-0.373,-0.012,-110.24419,0.89896,1035,44
"CALVERT, Ken",KenCalvert,House,42,CA,200,0.348,0.2,-95.75226,0.91757,1113,27
"CANTWELL, Maria E.",SenatorCantwell,Senate,0,WA,100,-0.289,-0.409,-45.66842,0.89697,420,21
"CAPITO, Shelley Moore",SenCapito,Senate,0,WV,200,0.258,0.052,-87.56186,0.81101,418,32
"CAPPS, Lois",RepLoisCapps,House,24,CA,100,-0.389,-0.227,-81.8492,0.927,1077,26
"CAPUANO, Michael Everett",mikecapuano,House,7,MA,100,-0.578,-0.086,-111.25111,0.90381,1100,62
"CARDIN, Benjamin Louis",SenatorCardin,Senate,0,MD,100,-0.328,-0.255,-46.86341,0.89442,420,16
"CARNEY, John C., Jr.",JohnCarneyDE,House,1,DE,100,-0.256,-0.142,-141.76971,0.879,1100,57
"CARPER, Thomas Richard",SenatorCarper,Senate,0,DE,100,-0.174,-0.219,-90.80103,0.80091,409,37
"CARSON, Andrթ",RepAndreCarson,House,7,IN,100,-0.433,0.071,-120.72867,0.89677,1108,43
"CARTER, Buddy",RepBuddyCarter,House,1,GA,200,0.565,0.343,-100.76315,0.9133,1111,54
"CARTER, John R.",JudgeCarter,House,31,TX,200,0.467,0.607,-84.51241,0.92281,1052,50
"CARTWRIGHT, Matt",RepCartwright,House,17,PA,100,-0.397,-0.015,-112.17156,0.9033,1103,43
"CASEY, Robert (Bob), Jr.",SenBobCasey,Senate,0,PA,100,-0.294,0.186,-80.09236,0.82449,415,30
"CASSIDY, Bill",BillCassidy,Senate,0,LA,200,0.451,-0.101,-81.49694,0.82209,416,36
"CASTOR, Kathy",USRepKCastor,House,14,FL,100,-0.433,0.031,-86.10686,0.92444,1096,43
"CASTRO, Joaquin",JoaquinCastrotx,House,20,TX,100,-0.398,0.04,-86.052,0.92103,1046,30
"CHABOT, Steve",RepSteveChabot,House,1,OH,200,0.584,-0.258,-92.42553,0.92106,1124,29
"CHAFFETZ, Jason",jasoninthehouse,House,3,UT,200,0.647,-0.278,-149.04672,0.87098,1079,71
"CHU, Judy",RepJudyChu,House,27,CA,100,-0.503,-0.32,-51.63659,0.95293,1071,19
"CICILLINE, David N.",RepCicilline,House,1,RI,100,-0.397,-0.255,-70.79653,0.93816,1109,23
"CLARK, Katherine M.",RepKClark,House,5,MA,100,-0.484,-0.468,-64.21594,0.94428,1120,30
"CLARKE, Yvette Diane",RepYvetteClarke,House,9,NY,100,-0.605,-0.225,-72.35236,0.93673,1107,36
"CLAWSON, Curt",RepCurtClawson,House,19,FL,200,0.626,-0.509,-201.38303,0.824,1041,71
"CLAY, William Lacy, Jr.",LacyClayMO1,House,1,MO,100,-0.487,-0.061,-106.16062,0.90695,1087,36
"CLEAVER, Emanuel, II",repcleaver,House,5,MO,100,-0.452,0.012,-100.76281,0.90532,1013,36
"CLYBURN, James Enos",Clyburn,House,6,SC,100,-0.465,0.262,-92.58825,0.91726,1072,47
"COATS, Daniel Ray",SenDanCoats,Senate,0,IN,200,0.375,-0.227,-111.40278,0.763,411,44
"COCHRAN, William Thad",SenThadCochran,Senate,0,MS,200,0.286,0.051,-73.89099,0.83726,416,24
"COFFMAN, Mike",RepMikeCoffman,House,6,CO,200,0.498,-0.212,-188.70557,0.84481,1119,74
"COHEN, Stephen",RepCohen,House,9,TN,100,-0.401,-0.375,-119.80572,0.89654,1097,51
"COLE, Tom",TomColeOK04,House,4,OK,200,0.337,0.373,-93.51597,0.9192,1110,27
"COLLINS, Chris",RepChrisCollins,House,27,NY,200,0.365,0.232,-111.76336,0.90355,1102,46
"COLLINS, Doug",RepDougCollins,House,9,GA,200,0.638,0.031,-101.67595,0.91202,1104,57
"COLLINS, Susan Margaret",SenatorCollins,Senate,0,ME,200,0.108,-0.572,-156.83716,0.68837,420,83
"COMER, James",KYComer,House,1,KY,200,0.616,0.027,-1.90687,0.94034,31,2
"COMSTOCK, Barbara J.",RepComstock,House,10,VA,200,0.275,0.437,-109.16116,0.90642,1111,36
"CONAWAY, K. Michael",ConawayTX11,House,11,TX,200,0.591,0.349,-84.16347,0.92792,1125,33
"CONNOLLY, Gerald E. (Gerry)",GerryConnolly,House,11,VA,100,-0.304,-0.029,-121.28385,0.89719,1118,60
"CONYERS, John, Jr.",RepJohnConyers,House,13,MI,100,-0.658,-0.515,-101.61315,0.90973,1074,38
"COOK, Paul",RepPaulCook,House,8,CA,200,0.384,0.201,-111.74407,0.90382,1105,43
"COONS, Christopher A.",ChrisCoons,Senate,0,DE,100,-0.267,-0.249,-45.06914,0.89419,403,23
"COOPER, James Hayes Shofner",repjimcooper,House,5,TN,100,-0.161,-0.035,-362.1794,0.72117,1108,143
"CORKER, Robert (Bob)",SenBobCorker,Senate,0,TN,200,0.393,-0.331,-121.19229,0.74409,410,50
