Similarity,Margin,CIlow,CIhigh,Category,Affiliation
0.05,19.65048,8.665247,30.63572,Care-virtue,R
0.1,20.3403,10.94824,29.73235,Care-virtue,R
0.15,21.05433,13.15216,28.95649,Care-virtue,R
0.2,21.79342,15.05899,28.52785,Care-virtue,R
0.25,22.55846,16.29574,28.82118,Care-virtue,R
0.3,23.35036,16.51771,30.18301,Care-virtue,R
0.35,24.17006,15.75776,32.58236,Care-virtue,R
0.05,10.33486,2.399434,18.27029,Care-vice,R
0.1,12.41565,4.613336,20.21795,Care-vice,R
0.15,14.91537,7.509541,22.32119,Care-vice,R
0.2,17.91837,11.10906,24.72768,Care-vice,R
0.25,21.52599,15.12024,27.93174,Care-vice,R
0.3,25.85995,18.59342,33.12648,Care-vice,R
0.35,31.06649,20.50278,41.6302,Care-vice,R
0.05,8.18362,2.430922,13.93632,Fairness-virtue,R
0.1,10.42989,4.388648,16.47112,Fairness-virtue,R
0.15,13.29271,7.137065,19.44836,Fairness-virtue,R
0.2,16.94134,10.80999,23.07269,Fairness-virtue,R
0.25,21.59145,15.29246,27.89044,Fairness-virtue,R
0.3,27.51794,19.89072,35.14517,Fairness-virtue,R
0.35,35.07115,23.64584,46.49646,Fairness-virtue,R
0.05,6.168756,1.772372,10.56514,Fairness-vice,R
0.1,8.462403,3.520654,13.40415,Fairness-vice,R
0.15,11.60887,6.232332,16.98541,Fairness-vice,R
0.2,15.92524,10.21938,21.6311,Fairness-vice,R
0.25,21.84652,15.5665,28.12654,Fairness-vice,R
0.3,29.96942,21.63788,38.30097,Fairness-vice,R
0.35,41.11256,27.33372,54.8914,Fairness-vice,R
0.05,9.27596,1.703447,16.84847,Authority-virtue,R
0.1,11.17196,3.580235,18.76368,Authority-virtue,R
0.15,13.45549,6.077312,20.83367,Authority-virtue,R
0.2,16.20578,9.269916,23.14164,Authority-virtue,R
0.25,19.51822,13.0667,25.96973,Authority-virtue,R
0.3,23.50772,16.90358,30.11185,Authority-virtue,R
0.35,28.31267,19.71664,36.90869,Authority-virtue,R
0.05,4.495067,2.485195,6.504939,Authority-vice,R
0.1,6.955029,4.321836,9.588222,Authority-vice,R
0.15,10.76123,7.301063,14.22139,Authority-vice,R
0.2,16.65039,11.93897,21.36181,Authority-vice,R
0.25,25.76245,18.78381,32.74109,Authority-vice,R
0.3,39.86116,28.3551,51.36722,Authority-vice,R
0.35,61.6755,41.22982,82.12117,Authority-vice,R
0.05,8.777823,4.616502,12.93915,Loyalty-virtue,R
0.1,11.03031,6.521943,15.53868,Loyalty-virtue,R
0.15,13.86082,8.980205,18.74143,Loyalty-virtue,R
0.2,17.41766,12.03419,22.80113,Loyalty-virtue,R
0.25,21.88723,15.63139,28.14306,Loyalty-virtue,R
0.3,27.50374,19.60518,35.4023,Loyalty-virtue,R
0.35,34.56151,23.74926,45.37375,Loyalty-virtue,R
0.05,5.156943,3.602862,6.711025,Loyalty-vice,R
0.1,8.293652,6.038609,10.5487,Loyalty-vice,R
0.15,13.33826,9.91286,16.76367,Loyalty-vice,R
0.2,21.45126,15.90363,26.99888,Loyalty-vice,R
0.25,34.49897,24.94325,44.05469,Loyalty-vice,R
0.3,55.48297,38.33985,72.62608,Loyalty-vice,R
0.35,89.23044,57.92027,120.5406,Loyalty-vice,R
0.05,8.923247,5.22927,12.61722,Purity-virtue,R
0.1,12.11668,7.872467,16.36089,Purity-virtue,R
0.15,16.45296,11.46511,21.44082,Purity-virtue,R
0.2,22.34111,16.06156,28.62066,Purity-virtue,R
0.25,30.33649,21.54463,39.12836,Purity-virtue,R
0.3,41.19325,27.72703,54.65947,Purity-virtue,R
0.35,55.93539,34.44356,77.42721,Purity-virtue,R
0.05,9.342566,6.65955,12.02558,Purity-vice,R
0.1,14.72521,10.86002,18.59041,Purity-vice,R
0.15,23.20903,17.04525,29.37281,Purity-vice,R
0.2,36.58073,25.76826,47.39319,Purity-vice,R
0.25,57.65642,37.73313,77.57971,Purity-vice,R
0.3,90.87472,53.77711,127.9723,Purity-vice,R
0.35,143.2315,74.67481,211.7881,Purity-vice,R
0.05,44.0215,15.8781,72.16489,Care-virtue,D
0.1,47.68018,17.01409,78.34627,Care-virtue,D
0.15,51.64294,18.03772,85.24816,Care-virtue,D
0.2,55.93505,18.91368,92.95642,Care-virtue,D
0.25,60.58388,19.60441,101.5634,Care-virtue,D
0.3,65.61909,20.06997,111.1682,Care-virtue,D
0.35,71.07277,20.26764,121.8779,Care-virtue,D
0.05,11.55555,6.022141,17.08896,Care-vice,D
0.1,16.38901,8.121105,24.6569,Care-vice,D
0.15,23.2442,10.75258,35.73581,Care-vice,D
