author,followers,tweet_count,created_at,date.enter,date.exit
aaronschock,27410,796,3/12/09 14:04,1/3/09,3/31/15
agbecerra,52808,3812,4/16/10 19:04,1/3/93,1/24/17
alangrayson,74096,2115,5/19/09 1:00,1/3/09,1/3/17
allysonschwartz,4285,197,4/8/13 2:05,1/3/05,1/3/15
amyklobuchar,401354,3922,4/20/09 14:59,1/3/07,NA
andercrenshaw,10696,1160,2/6/09 1:48,1/3/01,1/3/17
ann_kirkpatrick,7230,58,3/25/11 16:32,1/3/09,1/3/17
anthonybrownmd4,6438,1913,4/24/13 21:06,1/3/17,NA
austinscottga08,15875,2289,1/6/11 16:01,1/3/11,NA
bachusal06,8289,532,9/29/09 22:15,1/3/93,1/3/15
barbaraboxer,113654,1760,8/22/08 1:39,1/3/83,1/3/17
benniegthompson,8377,973,10/14/09 20:47,4/13/93,NA
bettymccollum04,23053,3053,3/6/12 20:52,1/3/01,NA
billcassidy,37516,2482,7/10/09 22:02,1/3/09,NA
billpascrell,31460,2697,9/15/09 17:54,1/3/97,NA
bobbyscott,25552,1924,7/1/10 19:57,1/3/93,NA
boblatta,34452,2265,7/11/08 18:33,12/11/07,NA
bradsherman,36435,1357,4/10/09 13:38,1/3/97,NA
brettguthrie,5984,746,2/16/10 1:12,NA,NA
brianschatz,89488,5520,6/16/09 21:54,12/26/12,NA
brucebraley,14664,2996,4/6/09 21:08,1/3/07,1/3/15
call_me_dutch,13288,1212,5/26/11 14:39,1/3/03,NA
candicemiller,11942,873,6/30/08 19:41,1/3/03,12/31/16
cathymcmorris,43365,4308,12/8/08 23:17,1/3/05,NA
cbrangel,29517,1596,2/19/09 16:17,1/3/71,1/3/17
chakafattah,12003,797,6/17/09 19:39,1/3/95,6/23/16
chelliepingree,22155,3281,6/2/08 20:29,1/3/09,NA
chriscoons,84287,4258,7/5/08 11:17,11/15/10,NA
chrismurphyct,632167,14096,5/31/10 1:22,1/3/07,NA
chrisvanhollen,115182,3424,12/15/08 15:00,1/3/03,NA
chuckgrassley,188621,3635,11/26/07 15:17,1/3/75,NA
clairecmc,428180,2496,9/6/08 20:20,1/3/07,NA
clyburn,55414,1268,9/7/10 18:50,1/3/93,NA
collinpeterson,1576,80,2/19/10 14:27,1/3/91,NA
conawaytx11,12011,653,5/9/11 13:56,1/3/05,NA
congbillposey,18120,1252,3/18/09 15:05,1/3/09,NA
congboyle,4525,2218,11/20/15 20:17,NA,NA
congculberson,15192,2586,3/13/09 14:54,1/3/01,NA
conghuelskamp,20174,3313,1/4/11 1:43,1/3/11,1/3/17
congmikesimpson,11401,497,9/21/09 20:26,1/3/99,NA
congpalazzo,13535,2322,5/16/11 20:52,1/3/11,NA
congressmandan,9503,569,1/25/11 14:54,1/3/11,1/3/17
congressmangt,18097,3626,1/14/09 4:54,1/3/09,NA
congressmanhice,12926,1810,1/12/15 18:48,1/3/15,NA
congressmanraja,9609,2073,12/28/16 18:39,1/3/17,NA
congressmanruiz,18974,923,1/14/13 18:58,1/3/13,NA
corrinebrowncon,148,106,10/12/15 19:03,NA,NA
corybooker,3855195,48132,8/11/08 14:41,10/31/13,NA
cynthialummis,14250,1581,3/4/09 20:44,1/3/09,1/3/17
danarohrabacher,36272,3265,1/18/09 8:35,1/3/89,NA
darrellissa,290033,2462,3/2/09 17:39,1/3/01,NA
daveloebsack,6897,907,3/1/12 16:52,1/3/07,NA
davereichert,19891,3227,9/2/08 20:12,1/3/05,NA
davidjollyfl,30547,6582,11/6/13 19:38,3/11/14,1/3/17
davidrouzer,2374,1197,3/30/10 17:36,NA,NA
davidvitter,33355,995,1/15/09 16:49,5/29/99,1/3/17
desjarlaistn04,14277,3482,1/7/11 21:47,1/3/11,NA
devinnunes,52200,210,7/7/09 2:04,1/3/03,NA
dochastings,3646,397,10/31/11 12:59,1/3/95,1/3/15
donaldnorcross,8938,2330,3/27/15 20:08,11/4/14,NA
donnafedwards,14789,1601,8/24/12 19:09,6/17/08,1/3/17
dorismatsui,29189,2611,5/6/09 19:20,3/8/05,NA
drnealdunnfl2,3405,669,1/2/17 16:06,1/3/17,NA
drphilgingrey,15338,1884,4/17/09 18:17,1/3/03,1/3/15
drphilroe,15272,2786,6/30/09 20:07,1/3/09,NA
dwstweets,379197,3267,2/20/10 17:35,1/3/05,NA
eleanornorton,27912,3700,3/10/09 14:47,NA,NA
ericcantor,293950,3235,1/12/09 4:57,1/3/01,8/18/14
farenthold,21687,3561,12/5/08 12:32,1/3/11,NA
franklautenberg,11139,1805,4/20/10 22:36,12/27/82,6/3/13
frankpallone,26762,2220,4/16/09 13:51,11/8/88,NA
gerryconnolly,43975,3679,9/29/09 23:17,1/3/09,NA
gkbutterfield,14913,2838,12/9/11 17:17,7/20/04,NA
gomarlin,1961,198,5/7/09 13:39,NA,NA
gopleader,139880,2839,1/29/09 22:28,1/3/07,NA
gracenapolitano,27746,1933,6/30/10 19:48,1/3/99,NA
greggharper,24888,872,3/11/09 3:02,1/3/09,NA
gregorymeeks,7,1996,11/3/17 6:07,2/3/98,NA
herrerabeutler,16863,682,1/25/11 22:36,1/3/11,NA
howardcoble,3853,687,6/10/11 2:48,NA,NA
hurdonthehill,23669,3691,1/6/15 4:27,1/3/15,NA
inhofepress,14219,3307,2/10/09 21:12,NA,NA
jackkingston,17236,1078,4/30/09 12:52,1/3/93,1/3/15
jacksonleetx18,52389,2453,10/7/09 16:13,1/3/95,NA
jahimes,64217,2642,4/16/09 2:38,1/3/09,NA
janschakowsky,34961,2369,3/13/09 16:03,1/3/99,NA
jasoninthehouse,354368,3946,12/2/08 4:59,1/3/09,6/30/17
jeffflake,405046,2464,8/30/08 17:00,1/3/01,NA
jefffortenberry,17803,2820,1/9/09 16:14,1/3/05,NA
jerrymoran,73382,2064,1/5/09 14:25,1/3/97,NA
jim_jordan,115190,543,12/16/08 17:20,1/3/07,NA
jiminhofe,36558,1071,7/5/07 14:39,1/3/87,NA
jimlangevin,20448,9043,1/12/09 18:36,1/3/01,NA
jimpressoffice,5871,1192,9/28/12 19:31,NA,NA
joaquincastrotx,96554,1856,12/28/10 18:41,1/3/13,NA
johnboozman,58951,3552,4/27/07 16:05,11/20/01,NA
johncarneyde,18832,2371,1/13/11 15:58,1/3/11,1/3/17
johncornyn,126599,3153,2/7/08 19:52,12/2/02,NA
johndingell,213055,2546,1/27/10 18:53,12/13/55,1/3/15
johnkerry,3297678,2355,6/4/08 16:51,1/2/85,2/1/13
johnwalsh,1513,241,9/27/13 22:06,2/9/14,1/3/15
judgecarter,14161,3431,12/10/08 21:00,1/3/03,NA
judgetedpoe,30292,4195,9/14/09 16:40,1/3/05,NA
juliabrownley26,14447,2627,3/5/13 14:51,1/3/13,NA
justinamash,132729,2375,1/4/11 7:09,1/3/11,NA
kamalaharris,1277617,4434,4/11/09 0:42,NA,NA
kayhagan,8302,1424,7/23/08 20:59,1/3/09,1/3/15
keithellison,360735,14978,3/12/08 21:38,1/3/07,NA
keithrothfus,9822,3412,2/6/13 21:51,1/3/13,NA
kellyayotte,67535,3231,12/22/10 20:20,1/3/11,1/3/17
kencalvert,14216,3559,3/2/09 22:30,1/3/93,NA
kycomer,9589,1088,9/21/12 19:51,11/8/16,NA
lacyclaymo1,7743,6777,5/19/12 16:41,1/3/01,NA
lamarsmithtx21,24019,2066,8/14/08 21:53,1/3/87,NA
leeterryne,8353,196,12/22/08 21:14,1/3/99,1/3/15
lindseygrahamsc,282870,3247,5/20/08 13:57,NA,NA
lisamurkowski,165947,3610,12/11/08 21:55,12/20/02,NA
lorettasanchez,19401,797,1/25/10 19:08,1/3/97,1/3/17
louiseslaughter,24384,2398,8/5/09 15:53,1/3/87,NA
ltgovtimgriffin,16933,3270,10/11/10 1:14,1/3/11,1/3/15
lutherstrange,10172,1819,6/17/08 2:02,2/9/17,1/3/18
mactxpress,11847,1061,9/21/11 18:42,NA,NA
marcorubio,3467186,1835,8/6/08 3:07,1/3/11,NA
mariodb,34060,3971,5/2/09 0:52,1/3/03,NA
markamodeinv2,11456,220,11/1/11 13:43,9/13/11,NA
markudall,31442,1997,8/11/07 19:18,1/3/99,1/3/15
markwarner,351103,3117,7/12/07 14:03,1/3/09,NA
marshablackburn,50915,2262,4/6/11 18:05,1/3/03,NA
martinheinrich,142095,4415,1/17/13 20:24,1/3/09,NA
maziehirono,194390,1902,11/24/09 3:10,1/3/07,NA
mccaskilloffice,15057,3566,7/15/09 16:40,NA,NA
mcconnellpress,79202,3793,7/21/11 18:25,NA,NA
michaelcburgess,26123,2319,8/6/08 15:25,1/3/03,NA
michelebachmann,268891,3238,12/18/08 16:10,1/3/07,1/3/15
mickmulvaneyomb,9961,34,7/20/17 13:41,1/3/11,2/16/17
mikecapuano,6974,668,9/20/09 13:23,1/3/99,NA
mikecrapo,54004,3468,6/5/12 22:16,1/3/93,NA
mikehmichaud,9769,760,2/2/09 17:42,1/3/03,1/3/15
mikekellypa,10569,2096,11/8/12 20:31,1/3/11,NA
nancypelosi,1441009,2862,8/7/08 15:35,6/2/87,NA
nikiinthehouse,20715,3557,1/25/11 20:57,10/16/07,NA
nitalowey,24352,1810,12/1/10 16:36,1/3/89,NA
normajtorres,11001,3006,1/10/11 6:30,1/3/15,NA
nydiavelazquez,37198,3618,7/8/10 18:18,1/3/93,NA
patrickmchenry,22783,1392,3/30/09 16:42,1/3/05,NA
patrickmurphyfl,11985,3003,3/6/11 20:59,1/3/13,1/3/17
pattiberi,15543,1773,10/29/12 15:02,1/3/01,1/15/18
pattymurray,400690,4410,5/4/11 20:23,1/3/93,NA
paulbrounmd,12781,797,1/9/09 19:06,7/17/07,1/3/15
peterroskam,25863,1643,2/4/09 0:11,1/3/07,NA
peterwelch,10278,1590,5/7/13 16:10,1/3/07,NA
petesessions,29739,3558,3/16/09 17:54,1/3/97,NA
randpaul,2024810,2704,11/17/10 23:52,1/3/11,NA
randy_forbes,20478,3196,6/18/08 18:32,6/19/01,1/3/17
randyneugebauer,14403,3210,4/22/09 17:46,6/3/03,1/3/17
raul_labrador,21447,2065,2/2/11 16:26,1/3/11,NA
rep_hunter,13869,266,3/26/13 21:04,1/3/09,NA
rep_southerland,8032,671,1/13/11 16:28,1/3/11,1/3/15
rep_stevewomack,17088,3342,1/5/11 18:53,1/3/11,NA
repabraham,10499,456,1/5/15 23:01,1/3/15,NA
repadams,9346,3962,12/11/14 19:54,11/4/14,NA
repadamschiff,620437,3510,4/7/09 17:54,1/3/01,NA
repadamsmith,27244,1748,7/21/09 21:31,1/3/97,NA
repadriansmith,9421,1647,5/10/11 12:52,1/3/07,NA
repalexmooney,5943,1351,1/6/15 17:13,1/3/15,NA
repalgreen,47858,1478,6/16/10 17:20,1/3/05,NA
repallawsonjr,2469,424,1/9/17 15:00,1/3/17,NA
repamata,1560,315,2/9/15 16:00,NA,NA
repandrecarson,31577,3350,10/6/10 15:47,3/11/08,NA
repandybarr,15202,1519,1/14/13 15:29,1/3/13,NA
repandybiggsaz,7015,2248,1/4/17 14:28,1/3/17,NA
repandyharrismd,12032,731,11/20/12 18:31,1/3/11,NA
repannaeshoo,33270,858,2/8/11 21:36,1/3/93,NA
repanniekuster,18767,2183,1/3/13 20:29,1/3/13,NA
repannwagner,17156,1865,1/1/13 0:01,1/3/13,NA
reparrington,3795,540,1/3/17 14:06,1/3/17,NA
repbarbaralee,170378,3732,2/7/11 16:28,4/7/98,NA
repbarragan,6013,1761,1/5/17 2:29,1/3/17,NA
repbeatty,23321,3889,6/19/13 17:47,1/3/13,NA
repbenraylujan,16534,1611,1/22/09 1:00,1/3/09,NA
repbera,26850,2943,11/16/12 1:39,1/3/13,NA
repbetoorourke,83990,2027,1/30/13 14:52,1/3/13,NA
repbillenyart,2314,386,1/7/13 14:42,1/3/13,1/3/15
repbillflores,17444,2648,1/12/11 15:20,1/3/11,NA
repbillfoster,40697,1964,1/11/13 18:17,3/8/08,NA
repbilljohnson,30366,3465,11/3/10 14:33,1/3/11,NA
repbillshuster,19872,3300,3/2/09 20:04,5/15/01,NA
repblainepress,9072,1634,9/9/13 19:53,1/3/09,NA
repblumenauer,53258,3053,8/23/08 6:38,5/21/96,NA
repbobbyrush,13776,1138,5/25/11 20:59,1/3/93,NA
repbobgibbs,28299,1118,1/6/11 17:17,1/3/11,NA
repbonamici,22582,2310,4/20/12 16:30,1/31/12,NA
repbonnie,10554,1366,1/8/15 20:18,1/3/15,NA
repbost,5526,1182,1/6/15 19:55,1/3/15,NA
repbradwenstrup,17198,2742,3/8/12 16:25,1/3/13,NA
repbrady,12193,715,5/26/10 18:53,5/19/98,NA
repbrianbabin,8435,2020,12/18/14 13:28,1/3/15,NA
repbrianfitz,4309,637,1/3/17 15:20,1/3/17,NA
repbrianhiggins,22361,10442,4/20/09 16:47,1/3/05,NA
repbrianmast,5606,687,12/28/16 13:41,1/3/17,NA
repbrochester,3965,337,1/5/17 16:48,1/3/17,NA
repbuddycarter,9475,1236,1/12/15 0:33,1/3/15,NA
repbyrne,16376,9985,12/19/13 19:42,12/17/13,NA
repcarbajal,5025,645,1/3/17 5:42,1/3/17,NA
repcardenas,17304,1274,2/26/13 16:12,1/3/13,NA
repcartwright,9444,636,8/23/12 20:05,1/3/13,NA
repcharliecrist,4909,1329,1/2/17 21:16,1/3/17,NA
repcharliedent,15189,1515,1/24/11 16:58,1/3/05,NA
repcheri,29587,2391,1/15/13 19:15,1/3/13,NA
repchriscollins,20918,3430,1/3/13 16:55,1/3/13,NA
repchrisgibson,10968,1686,1/6/11 23:23,1/3/11,1/3/17
repchrissmith,18490,1041,3/22/13 18:03,1/3/81,NA
repchrisstewart,16642,2815,1/8/13 21:08,1/3/13,NA
repchuck,12803,1767,1/7/11 15:46,1/3/11,NA
repcicilline,13584,2294,1/12/12 16:26,1/3/11,NA
repcleaver,32419,3733,7/6/10 19:14,1/3/05,NA
repcohen,42426,1913,7/2/10 15:10,1/3/07,NA
repcomstock,14689,2754,12/20/14 15:03,1/3/15,NA
repcuellar,20722,3417,11/1/10 20:20,1/3/05,NA
repcummings,178620,2504,8/28/12 16:37,4/16/96,NA
repcurbelo,15236,1986,10/31/14 14:01,1/3/15,NA
repcurtclawson,2966,397,8/13/14 19:15,6/24/14,1/3/17
repdandonovan,3757,1570,7/1/15 19:06,5/5/15,NA
repdankildee,32214,2199,12/29/12 15:05,1/3/13,NA
repdannydavis,8858,1131,8/29/12 12:31,1/3/97,NA
repdarrensoto,4615,1207,1/10/17 6:57,1/3/17,NA
repdavebrat,12834,1241,6/11/14 0:22,11/4/14,NA
repdavejoyce,18142,3386,11/28/12 21:12,1/3/13,NA
repdavetrott,9859,426,11/9/14 22:42,1/3/15,NA
repdavid,21770,1457,12/21/10 19:48,1/3/11,NA
repdavideprice,21268,857,6/14/10 19:44,1/3/87,NA
repdavidkustoff,3541,468,1/2/17 20:03,1/3/17,NA
repdavidscott,16484,1709,7/20/10 14:10,1/3/03,NA
repdavidvaladao,13319,490,1/28/13 16:19,1/3/13,NA
repdavidyoung,9336,3645,6/9/11 21:48,1/3/15,NA
repdebdingell,32562,1968,1/9/15 19:15,1/3/15,NA
repdelbene,22531,3392,12/7/12 14:40,11/6/12,NA
repdennisross,16788,917,4/20/09 20:43,1/3/11,NA
repdennyheck,19714,2368,1/7/13 14:55,1/3/13,NA
repderekkilmer,23754,1786,1/3/13 22:15,1/3/13,NA
repdesantis,153518,410,1/3/13 21:20,1/3/13,NA
repdesaulnier,11501,1801,1/8/15 15:32,1/3/15,NA
repdevinnunes,15027,149,7/29/11 21:40,NA,NA
repdianadegette,39354,3613,4/3/09 16:41,1/3/97,NA
repdianeblack,25359,3529,2/1/10 22:58,1/3/11,NA
