member,follower.ideo,bioname,Party
agbecerra,-0.738469688,"BECERRA, Xavier",Democratic
alangrayson,-0.70586331,"GRAYSON, Alan",Democratic
amyklobuchar,-0.599003612,"KLOBUCHAR, Amy",Democratic
andercrenshaw,1.18941505,"CRENSHAW, Ander",Republican
anthonybrownmd4,-0.302958689,"BROWN, Anthony Gregory",Democratic
austinscottga08,1.178895014,"SCOTT, Austin",Republican
barbaraboxer,-0.811474285,"BOXER, Barbara",Democratic
benniegthompson,0.19098836,"THOMPSON, Bennie",Democratic
bettymccollum04,-0.59820098,"McCOLLUM, Betty",Democratic
billcassidy,1.158309469,"CASSIDY, Bill",Republican
billpascrell,-0.573791222,"PASCRELL, William J., Jr.",Democratic
bobbyscott,0.061350081,"SCOTT, Robert C.",Democratic
boblatta,1.226733476,"LATTA, Robert E.",Republican
bradsherman,0.30497137,"SHERMAN, Brad",Democratic
call_me_dutch,-0.00679947,"RUPPERSBERGER, C. A. (Dutch)",Democratic
candicemiller,1.175271186,"MILLER, Candice S.",Republican
cathymcmorris,1.335401962,"McMORRIS RODGERS, Cathy",Republican
cbrangel,-0.247810741,"RANGEL, Charles B.",Democratic
chakafattah,-0.077348597,"FATTAH, Chaka",Democratic
chelliepingree,0.131146022,"PINGREE, Chellie",Democratic
chriscoons,-0.130355272,"COONS, Christopher A.",Democratic
chrismurphyct,-0.227711601,"MURPHY, Christopher",Democratic
chrisvanhollen,-0.29987564,"VAN HOLLEN, Christopher",Democratic
chuckgrassley,1.269086531,"GRASSLEY, Charles Ernest",Republican
clairecmc,-0.336753929,"McCASKILL, Claire",Democratic
clyburn,-0.193996416,"CLYBURN, James Enos",Democratic
conawaytx11,1.201627082,"CONAWAY, K. Michael",Republican
congbillposey,1.291476704,"POSEY, Bill",Republican
congculberson,1.160316357,"CULBERSON, John",Republican
conghuelskamp,1.611215727,"HUELSKAMP, Tim",Republican
congmikesimpson,1.170059631,"SIMPSON, Michael K.",Republican
congpalazzo,1.209616082,"PALAZZO, Steven",Republican
congressmangt,1.054897076,"THOMPSON, Glenn",Republican
congressmanhice,1.299153776,"HICE, Jody Brownlow",Republican
congressmanraja,-0.21953689,"KRISHNAMOORTHI, S. Raja",Democratic
congressmanruiz,0.371713567,"RUIZ, Raul",Democratic
corybooker,-0.294000996,"BOOKER, Cory Anthony",Democratic
cynthialummis,1.186644857,"LUMMIS, Cynthia M.",Republican
danarohrabacher,1.273645778,"ROHRABACHER, Dana",Republican
darrellissa,1.553951656,"ISSA, Darrell",Republican
daveloebsack,0.045485182,"LOEBSACK, Dave",Democratic
davereichert,0.973296544,"REICHERT, David G.",Republican
davidjollyfl,-0.738264766,"JOLLY, David W.",Republican
davidvitter,1.243609942,"VITTER, David",Republican
desjarlaistn04,1.270726919,"DESJARLAIS, Scott",Republican
devinnunes,1.673358249,"NUNES, Devin",Republican
donaldnorcross,0.423786548,"NORCROSS, Donald",Democratic
dorismatsui,-0.057340177,"MATSUI, Doris",Democratic
drnealdunnfl2,1.050973938,"DUNN, Neal Patrick",Republican
drphilroe,1.266710866,"ROE, David P. (Phil)",Republican
farenthold,1.375975702,"FARENTHOLD, Blake",Republican
frankpallone,-0.018222619,"PALLONE, Frank, Jr.",Democratic
gerryconnolly,-0.671691452,"CONNOLLY, Gerald E. (Gerry)",Democratic
gkbutterfield,-0.259279663,"BUTTERFIELD, George Kenneth, Jr. (G.K.)",Democratic
gopleader,1.489483894,"MCCARTHY, Kevin",Republican
gracenapolitano,0.316037546,"NAPOLITANO, Grace Flores",Democratic
greggharper,1.324269324,"HARPER, Gregg",Republican
gwengraham,-0.785994687,"GRAHAM, Gwendolyn (Gwen)",Democratic
herrerabeutler,0.488896892,"HERRERA BEUTLER, Jaime",Republican
hurdonthehill,-0.0908278,"HURD, William Ballard",Republican
jacksonleetx18,-0.558915396,"JACKSON LEE, Sheila",Democratic
jahimes,-0.415764591,"HIMES, James A.",Democratic
janschakowsky,-0.270133807,"SCHAKOWSKY, Janice D.",Democratic
jasoninthehouse,1.679954962,"CHAFFETZ, Jason",Republican
jeffflake,0.619601374,"FLAKE, Jeff",Republican
jefffortenberry,1.160653831,"FORTENBERRY, Jeff",Republican
jerrymoran,1.076329997,"MORAN, Jerry",Republican
jim_jordan,1.619535696,"JORDAN, Jim",Republican
jiminhofe,1.176678897,"INHOFE, James Mountain",Republican
jimlangevin,0.157448126,"LANGEVIN, James",Democratic
joaquincastrotx,-0.876133369,"CASTRO, Joaquin",Democratic
johnboozman,1.104650289,"BOOZMAN, John",Republican
johncarneyde,0.508431031,"CARNEY, John C., Jr.",Democratic
johncornyn,1.228167817,"CORNYN, John",Republican
judgecarter,1.193068241,"CARTER, John R.",Republican
judgetedpoe,1.35693846,"POE, Ted",Republican
juliabrownley26,0.424905999,"BROWNLEY, Julia",Democratic
justinamash,0.573506886,"AMASH, Justin",Republican
keithellison,-0.682008432,"ELLISON, Keith",Democratic
keithrothfus,1.057541971,"ROTHFUS, Keith",Republican
kellyayotte,0.999032662,"AYOTTE, Kelly",Republican
kencalvert,1.037118628,"CALVERT, Ken",Republican
kycomer,0.964958518,"COMER, James",Republican
lacyclaymo1,-0.036732226,"CLAY, William Lacy, Jr.",Democratic
lamarsmithtx21,1.404927835,"SMITH, Lamar Seeligson",Republican
lindseygrahamsc,0.70476282,"GRAHAM, Lindsey O.",Republican
lisamurkowski,0.754856307,"MURKOWSKI, Lisa",Republican
lorettasanchez,0.261871818,"SANCHEZ, Loretta",Democratic
louiseslaughter,-0.309395467,"SLAUGHTER, Louise McIntosh",Democratic
lutherstrange,1.28149885,"STRANGE, Luther  Johnson, III",Republican
macthornberry,1.154694856,"THORNBERRY, William McClellan (Mac)",Republican
marcorubio,1.204224076,"RUBIO, Marco",Republican
mariodb,1.149280516,"DIAZ-BALART, Mario",Republican
markamodeinv2,0.711372164,"AMODEI, Mark E.",Republican
markwarner,-0.318307728,"WARNER, Mark",Democratic
marshablackburn,1.612533917,"BLACKBURN, Marsha",Republican
martinheinrich,0.297001067,"HEINRICH, Martin",Democratic
maziehirono,-0.300655862,"HIRONO, Mazie",Democratic
michaelcburgess,1.303250208,"BURGESS, Michael C.",Republican
mikecrapo,1.138990404,"CRAPO, Michael Dean",Republican
mikekellypa,1.351837796,"KELLY, Mike",Republican
nancypelosi,-0.3262889,"PELOSI, Nancy",Democratic
nikiinthehouse,-0.078397591,"TSONGAS, Nicola S. (Niki)",Democratic
nitalowey,0.226129972,"LOWEY, Nita M.",Democratic
normajtorres,0.231987555,"TORRES, Norma Judith",Democratic
nydiavelazquez,-0.542102386,"VELêÅZQUEZ, Nydia M.",Democratic
patrickmchenry,1.218814105,"McHENRY, Patrick T.",Republican
patrickmurphyfl,-0.379814182,"MURPHY, Patrick",Democratic
pattiberi,1.160759353,"TIBERI, Patrick (Pat)",Republican
pattymurray,-0.352924436,"MURRAY, Patty",Democratic
peterroskam,1.151096353,"ROSKAM, Peter",Republican
peterwelch,-0.50956332,"WELCH, Peter",Democratic
petesessions,1.30202069,"SESSIONS, Pete",Republican
randpaul,1.189808142,"PAUL, Rand",Republican
randyneugebauer,1.330078867,"NEUGEBAUER, Randy",Republican
raul_labrador,1.407442446,"LABRADOR, Raê_l R.",Republican
rep_hunter,1.302749622,"HUNTER, Duncan Duane",Republican
rep_stevewomack,1.210756304,"WOMACK, Steve",Republican
repabraham,1.103696324,"ABRAHAM, Ralph",Republican
repadams,-0.101024081,"ADAMS, Alma",Democratic
repadamschiff,-0.544276756,"SCHIFF, Adam",Democratic
repadamsmith,-0.22990444,"SMITH, Adam",Democratic
repadriansmith,1.136236658,"SMITH, Adrian",Republican
repalexmooney,1.138107982,"MOONEY, Alex X.",Republican
repalgreen,-0.298509977,"GREEN, Al",Democratic
repallawsonjr,0.397621268,"LAWSON, Alfred Jr.",Democratic
repandrecarson,0.085749456,"CARSON, Andrê©",Democratic
repandybarr,1.157405464,"BARR, Garland H. (Andy) IV",Republican
