chamber,district_code,state_abbrev,affiliation,twitter_handle,bioname,dim1,dim2,log_likelihood,geo_mean_probability,number_of_votes,number_of_errors
House,5,LA,R,RepAbraham,"ABRAHAM, Ralph",0.49,0.482,-20.64452,0.94545,368,7
House,12,NC,D,RepAdams,"ADAMS, Alma",-0.462,0.009,-19.62187,0.94794,367,9
House,4,AL,R,Robert_Aderholt,"ADERHOLT, Robert",0.36,0.587,-20.16111,0.94418,351,4
House,31,CA,D,RepPeteAguilar,"AGUILAR, Peter Rey",-0.278,0.134,-36.60905,0.90407,363,21
Senate,0,TN,R,SenAlexander,"ALEXANDER, Lamar",0.323,-0.184,-5.2977,0.96802,163,1
House,12,GA,R,RepRickAllen,"ALLEN, Rick W.",0.617,0.458,-13.06101,0.96494,366,3
House,3,MI,R,justinamash,"AMASH, Justin",0.671,-0.742,-178.85303,0.61426,367,80
House,2,NV,R,MarkAmodeiNV2,"AMODEI, Mark E.",0.387,0.164,-23.09695,0.93786,360,6
House,19,TX,R,RepArrington,"ARRINGTON, Jodey Cook",0.471,0.191,-13.85631,0.96295,367,3
House,36,TX,R,RepBrianBabin,"BABIN, Brian",0.724,0.072,-20.31546,0.94498,359,13
House,2,NE,R,,"BACON, Donald J.",0.393,-0.023,-21.7387,0.94264,368,6
Senate,0,WI,D,SenatorBaldwin,"BALDWIN, Tammy",-0.542,-0.255,-31.30662,0.83181,170,16
House,3,IN,R,RepJimBanks,"BANKS, James E.",0.625,-0.048,-16.78146,0.95518,366,4
House,11,PA,R,RepLouBarletta,"BARLETTA, Lou",0.276,0.402,-15.54224,0.95607,346,3
House,6,KY,R,RepAndyBarr,"BARR, Garland H. (Andy) IV",0.476,0.307,-19.97158,0.94647,363,10
House,44,CA,D,RepBarragan,"BARRAGêÅN, Nanette Diaz",-0.537,0.098,-17.97594,0.9522,367,4
Senate,0,WY,R,SenJohnBarrasso,"BARRASSO, John A.",0.528,0.226,-2.64773,0.98446,169,1
House,6,TX,R,RepJoeBarton,"BARTON, Joe Linus",0.529,0.055,-15.53819,0.95821,364,4
House,37,CA,D,RepKarenBass,"BASS, Karen",-0.56,-0.137,-16.06889,0.955,349,4
House,3,OH,D,RepBeatty,"BEATTY, Joyce",-0.442,0.091,-25.9323,0.92936,354,11
House,34,CA,D,AGBecerra,"BECERRA, Xavier",-0.512,-0.283,-0.00649,0.99964,18,0
Senate,0,CO,D,SenBennetCO,"BENNET, Michael F.",-0.207,-0.11,-26.63836,0.85496,170,12
House,7,CA,D,RepBera,"BERA, Ami",-0.223,-0.034,-45.49652,0.88341,367,20
House,1,MI,R,RepJackBergman,"BERGMAN, John",0.346,0.38,-22.19116,0.94148,368,13
House,8,VA,D,RepDonBeyer,"BEYER, Donald Sternoff Jr.",-0.38,-0.11,-34.73259,0.90729,357,18
House,5,AZ,R,RepAndyBiggsAZ,"BIGGS, Andrew S.",0.836,-0.411,-29.81302,0.92218,368,12
House,12,FL,R,RepGusBilirakis,"BILIRAKIS, Gus",0.398,0.028,-16.48119,0.95525,360,5
House,8,MI,R,RepMikeBishop,"BISHOP, Michael Dean",0.432,0.135,-20.77255,0.94497,367,11
House,1,UT,R,,"BISHOP, Robert (Rob)",0.532,0.123,-16.77783,0.95384,355,5
House,2,GA,D,SanfordBishop,"BISHOP, Sanford Dixon, Jr.",-0.28,0.473,-66.52595,0.83085,359,37
House,6,TN,R,RepDianeBlack,"BLACK, Diane",0.577,0.233,-12.63258,0.96465,351,3
House,7,TN,R,MarshaBlackburn,"BLACKBURN, Marsha",0.614,0.129,-13.88488,0.96227,361,4
House,1,IA,R,RepRodBlum,"BLUM, Rod",0.516,-0.456,-74.27289,0.81497,363,31
House,3,OR,D,repblumenauer,"BLUMENAUER, Earl",-0.429,-0.659,-24.53648,0.93376,358,13
Senate,0,CT,D,SenBlumenthal,"BLUMENTHAL, Richard",-0.407,-0.1,-30.37564,0.83549,169,16
House,1,DE,D,RepBRochester,"BLUNT ROCHESTER, Lisa",-0.354,-0.191,-21.7924,0.9422,366,4
Senate,0,MO,R,RoyBlunt,"BLUNT, Roy",0.431,0.288,-1.5217,0.99098,168,0
House,1,OR,D,RepBonamici,"BONAMICI, Suzanne",-0.393,-0.37,-23.82621,0.93731,368,14
Senate,0,NJ,D,CoryBooker,"BOOKER, Cory Anthony",-0.629,-0.232,-16.26534,0.90876,170,5
Senate,0,AR,R,JohnBoozman,"BOOZMAN, John",0.402,0.246,-3.52537,0.97948,170,1
House,12,IL,R,RepBost,"BOST, Mike",0.276,0.38,-26.53657,0.93006,366,18
House,13,PA,D,RepBrendanBoyle,"BOYLE, Brendan Francis",-0.376,0.107,-35.58594,0.90538,358,10
House,8,TX,R,RepKevinBrady,"BRADY, Kevin Patrick",0.52,0.214,-12.81849,0.96463,356,4
House,1,PA,D,RepBrady,"BRADY, Robert A.",-0.481,0.22,-41.6747,0.89266,367,14
House,7,VA,R,RepDaveBrat,"BRAT, David A.",0.845,-0.309,-22.5338,0.93965,362,7
House,1,OK,R,RepJBridenstine,"BRIDENSTINE, Jim",0.69,-0.157,-25.51265,0.93028,353,6
House,5,AL,R,RepMoBrooks,"BROOKS, Mo",0.596,-0.403,-27.67619,0.92459,353,9
House,5,IN,R,SusanWBrooks,"BROOKS, Susan",0.381,0.314,-15.65217,0.95825,367,4
House,4,MD,D,AnthonyBrownMD4,"BROWN, Anthony Gregory",-0.348,-0.234,-19.2835,0.9477,359,5
Senate,0,OH,D,SenSherrodBrown,"BROWN, Sherrod",-0.439,-0.145,-26.51078,0.85561,170,10
House,26,CA,D,JuliaBrownley26,"BROWNLEY, Julia",-0.277,0.035,-32.55121,0.91534,368,22
House,16,FL,R,VernBuchanan,"BUCHANAN, Vernon G.",0.359,-0.156,-22.13197,0.94037,360,7
House,4,CO,R,RepKenBuck,"BUCK, Kenneth Robert",0.737,-0.473,-23.96546,0.93662,366,15
House,8,IN,R,RepLarryBucshon,"BUCSHON, Larry",0.398,0.25,-18.02911,0.95155,363,10
House,13,NC,R,RepTedBudd,"BUDD, Theodore Paul",0.774,0.082,-17.65055,0.95304,367,6
House,26,TX,R,michaelcburgess,"BURGESS, Michael C.",0.571,-0.233,-21.52265,0.94289,366,14
Senate,0,NC,R,SenatorBurr,"BURR, Richard M.",0.454,-0.059,-1.98879,0.98795,164,0
House,17,IL,D,RepCheri,"BUSTOS, Cheri",-0.239,0.052,-34.48497,0.91032,367,11
House,1,NC,D,GKButterfield,"BUTTERFIELD, George Kenneth, Jr. (G.K.)",-0.405,0.207,-27.67519,0.92521,356,16
House,1,AL,R,RepByrne,"BYRNE, Bradley",0.532,0.291,-16.77598,0.95544,368,5
House,42,CA,R,KenCalvert,"CALVERT, Ken",0.347,0.199,-13.02651,0.96465,362,1
Senate,0,WA,D,SenatorCantwell,"CANTWELL, Maria E.",-0.287,-0.402,-10.80989,0.93768,168,1
Senate,0,WV,R,SenCapito,"CAPITO, Shelley Moore",0.258,0.051,-9.20686,0.94636,167,3
House,7,MA,D,repmikecapuano,"CAPUANO, Michael Everett",-0.578,-0.087,-36.73823,0.90425,365,13
House,24,CA,D,RepCarbajal,"CARBAJAL, Salud",-0.367,0.12,-27.68071,0.92735,367,11
Senate,0,MD,D,SenatorCardin,"CARDIN, Benjamin Louis",-0.329,-0.256,-17.1801,0.90388,170,5
Senate,0,DE,D,SenatorCarper,"CARPER, Thomas Richard",-0.174,-0.22,-26.18801,0.85324,165,12
